diseases,grouped symptoms,disease probability
fungal infection of the skin,"{'acne or pimples': 0.6661786237188873, 'itchy scalp': 0.6427525622254758, 'skin lesion': 0.5226939970717424, 'itching of skin': 0.5212298682284041, 'skin rash': 0.5153733528550513, 'too little hair': 0.5124450951683748, 'irregular appearing scalp': 0.5080527086383602, 'abnormal appearing skin': 0.5007320644216691, 'skin dryness, peeling, scaliness, or roughness': 0.4904831625183016, 'skin swelling': 0.465592972181552}",0.1
g6pd enzyme deficiency,"{'cough': 1.0, 'emotional symptoms': 1.0}",0.001
galactorrhea of unknown cause,"{'anxiety and nervousness': 1.0, 'bleeding or discharge from nipple': 0.5454545454545454, 'pain or soreness of breast': 0.5454545454545454, 'emotional symptoms': 0.45454545454545453}",0.005
gallstone,"{'regurgitation.1': 0.668141592920354, 'back pain': 0.5309734513274337, 'burning abdominal pain': 0.5221238938053098, 'nausea': 0.5188053097345132, 'upper abdominal pain': 0.5165929203539823, 'sharp abdominal pain': 0.5121681415929203, 'side pain': 0.5099557522123894, 'lower body pain': 0.5099557522123894, 'heartburn': 0.504424778761062, 'vomiting': 0.4911504424778761, 'sharp chest pain': 0.4811946902654867}",0.03
ganglion cyst,"{'knee lump or mass': 0.6637037037037037, 'leg pain': 0.6533333333333333, 'foot or toe pain': 0.5185185185185185, 'skin growth': 0.5155555555555555, 'hand or finger pain': 0.5111111111111111, 'knee swelling': 0.5081481481481481, 'wrist lump or mass': 0.5022222222222222, 'wrist swelling': 0.49777777777777776, 'knee pain': 0.4962962962962963, 'hand or finger lump or mass': 0.48592592592592593}",0.02
gas gangrene,"{'sharp abdominal pain': 1.0, 'wrist pain': 1.0}",0.001
gastritis,"{'headache': 0.6759941089837997, 'diarrhea': 0.6701030927835051, 'sharp abdominal pain': 0.5095729013254786, 'regurgitation.1': 0.5022091310751104, 'nausea': 0.4992636229749632, 'vomiting': 0.49189985272459497, 'vomiting blood': 0.49042709867452133, 'fever': 0.48600883652430044, 'sharp chest pain': 0.4845360824742268, 'burning abdominal pain': 0.4845360824742268}",0.1
gastroduodenal ulcer,"{'changes in stool appearance': 0.6734992679355783, 'blood in stool': 0.6471449487554904, 'vomiting blood': 0.5300146412884333, 'vomiting': 0.5183016105417276, 'upper abdominal pain': 0.5183016105417276, 'sharp abdominal pain': 0.5124450951683748, 'heartburn': 0.5124450951683748, 'nausea': 0.5065885797950219, 'sharp chest pain': 0.49194729136163984, 'burning abdominal pain': 0.4685212298682284}",0.02
gastroesophageal reflux disease (gerd),"{'cough': 0.7544642857142857, 'difficulty in swallowing': 0.6450892857142857, 'sharp abdominal pain': 0.546875, 'regurgitation': 0.5178571428571429, 'regurgitation.1': 0.5178571428571429, 'chest tightness': 0.515625, 'sharp chest pain': 0.5089285714285714, 'hoarse voice': 0.5, 'burning abdominal pain': 0.4888392857142857, 'nausea': 0.46651785714285715}",0.1
gastrointestinal hemorrhage,"{'blood in stool': 0.5172981878088962, 'rectal bleeding': 0.514003294892916, 'sharp abdominal pain': 0.5082372322899505, 'vomiting': 0.5082372322899505, 'nausea': 0.5082372322899505, 'vomiting blood': 0.49917627677100496, 'fainting': 0.49670510708401977, 'changes in stool appearance': 0.4925864909390445, 'diarrhea': 0.4868204283360791, 'melena': 0.4868204283360791, 'weakness': 0.47611202635914335, 'dizziness': 0.4744645799011532}",0.01
gastroparesis,"{'burning abdominal pain': 0.7653631284916201, 'sharp chest pain': 0.6871508379888268, 'upper abdominal pain': 0.6871508379888268, 'sharp abdominal pain': 0.6145251396648045, 'vomiting': 0.5865921787709497, 'regurgitation': 0.5586592178770949, 'regurgitation.1': 0.5586592178770949, 'nausea': 0.5418994413407822}",0.005
genital herpes,"{'skin lesion': 0.743801652892562, 'vaginal itching': 0.7231404958677686, 'suprapubic pain': 0.7066115702479339, 'vaginal discharge': 0.7066115702479339, 'recent pregnancy': 0.6942148760330579, 'skin rash': 0.5619834710743802, 'painful urination': 0.5454545454545454}",0.02
gestational diabetes,"{'vaginal redness': 0.8076923076923077, 'pelvic pressure': 0.5769230769230769, 'pain during pregnancy': 0.5384615384615384, 'problems during pregnancy': 0.5384615384615384, 'uterine contractions': 0.5384615384615384}",0.01
glaucoma,"{'foreign body sensation in eye': 0.6706827309236948, 'itchiness of eye': 0.6646586345381527, 'itchy eyelid': 0.6365461847389559, 'lacrimation': 0.5341365461847389, 'symptoms of eye': 0.5321285140562249, 'spots or clouds in vision': 0.5321285140562249, 'eye redness': 0.5200803212851406, 'diminished vision': 0.5160642570281124, 'pain in eye': 0.5080321285140562}",0.03
glucocorticoid deficiency,"{'lack of growth': 0.9411764705882353, 'shortness of breath': 0.8235294117647058, 'diarrhea': 0.7647058823529411}",0.001
goiter,"{'lump in throat': 0.8266666666666667, 'hot flashes': 0.8133333333333334, 'difficulty in swallowing': 0.7733333333333333, 'fatigue': 0.64, 'weight gain': 0.56}",0.01
gonorrhea,"{'problems with movement': 0.8625954198473282, 'vaginal pain': 0.732824427480916, 'vaginal itching': 0.6946564885496184, 'sharp abdominal pain': 0.6030534351145038, 'penile discharge': 0.5648854961832062, 'vaginal discharge': 0.4961832061068702}",0.02
gout,"{'knee pain': 0.5342691990090834, 'foot or toe pain': 0.5177539223781998, 'knee swelling': 0.5169281585466556, 'foot or toe swelling': 0.5161023947151114, 'wrist swelling': 0.5111478117258464, 'ankle pain': 0.5111478117258464, 'ankle swelling': 0.5053674649050371, 'hand or finger swelling': 0.5037159372419489, 'wrist pain': 0.4962840627580512, 'joint pain': 0.495458298926507, 'hand or finger pain': 0.4838976052848885, 'leg swelling': 0.4731626754748142}",0.03
granuloma inguinale,"{'sharp chest pain': 1.0, 'knee lump or mass': 0.8}",0.001
graves disease,"{'irregular heartbeat': 0.7741935483870968, 'dizziness': 0.6814516129032258, 'involuntary urination': 0.6693548387096774, 'hemoptysis': 0.6451612903225806, 'palpitations': 0.5362903225806451, 'sweating': 0.5120967741935484, 'abnormal involuntary movements': 0.4879032258064516}",0.005
guillain barre syndrome,"{'dizziness': 0.8771929824561403, 'hand or finger pain': 0.8771929824561403, 'leg pain': 0.8421052631578947, 'difficulty speaking': 0.7368421052631579, 'loss of sensation': 0.6842105263157895}",0.001
gum disease,"{'mouth ulcer': 0.6957494407158836, 'toothache': 0.5324384787472036, 'ear pain': 0.5324384787472036, 'gum pain': 0.5212527964205816, 'facial pain': 0.5123042505592841, 'jaw swelling': 0.5111856823266219, 'peripheral edema': 0.5067114093959731, 'bleeding gums': 0.5033557046979866, 'fever': 0.4966442953020134, 'pain in gums': 0.4843400447427293, 'lip swelling': 0.47874720357941836}",0.1
gynecomastia,"{'bones are painful': 0.6265060240963856, 'skin swelling': 0.6024096385542169, 'lump or mass of breast': 0.5903614457831325, 'back pain': 0.5783132530120482, 'problems with shape or size of breast': 0.5662650602409639, 'neck pain': 0.5301204819277109, 'pain or soreness of breast': 0.43373493975903615}",0.01
hammer toe,"{'skin growth': 0.8888888888888888, 'skin lesion': 0.6666666666666666, 'foot or toe pain': 0.5555555555555556, 'loss of sensation': 0.4444444444444444}",0.05
hashimoto thyroiditis,"{'abnormal involuntary movements': 1.0, 'weight gain': 1.0}",0.02
head and neck cancer,"{'hemoptysis': 0.7269938650306749, 'hoarse voice': 0.7055214723926381, 'plugged feeling in ear': 0.6748466257668712, 'neck mass': 0.5398773006134969, 'sore throat': 0.5368098159509203, 'difficulty in swallowing': 0.5368098159509203, 'throat feels tight': 0.5276073619631901, 'mouth pain': 0.4938650306748466}",0.003
head injury,"{'double vision': 0.6402439024390244, 'lip swelling': 0.6341463414634146, 'facial pain': 0.5487804878048781, 'back pain': 0.5426829268292683, 'neck pain': 0.5182926829268293, 'fainting': 0.5, 'headache': 0.5, 'dizziness': 0.49390243902439024}",0.02
headache after lumbar puncture,"{'painful urination': 0.8284023668639053, 'nausea': 0.6923076923076923, 'headache': 0.5266272189349113, 'vomiting': 0.4970414201183432, 'neck pain': 0.4970414201183432, 'low back pain': 0.4970414201183432, 'dizziness': 0.47337278106508873}",0.001
heart attack,"{'heartburn': 0.6504961411245865, 'fainting': 0.538037486218302, 'nausea': 0.5336273428886439, 'increased heart rate': 0.523704520396913, 'arm pain': 0.5093715545755237, 'burning chest pain': 0.5060639470782801, 'irregular heartbeat': 0.4972436604189636, 'shortness of breath': 0.4961411245865491, 'chest tightness': 0.4906284454244763, 'sweating': 0.4906284454244763, 'sharp chest pain': 0.4895259095920617}",0.02
heart block,"{'weight gain': 0.7508250825082509, 'weakness': 0.5495049504950495, 'irregular heartbeat': 0.5181518151815182, 'palpitations': 0.5082508250825083, 'fainting': 0.5033003300330033, 'chest tightness': 0.5, 'peripheral edema': 0.49174917491749176, 'dizziness': 0.4801980198019802, 'shortness of breath': 0.4735973597359736, 'sharp chest pain': 0.4735973597359736}",0.001
heart contusion,"{'depression': 1.0, 'elbow weakness': 0.8181818181818182}",0.001
heart failure,"{'cough': 0.6810631229235881, 'palpitations': 0.5182724252491694, 'difficulty breathing': 0.5182724252491694, 'sharp chest pain': 0.5116279069767442, 'hurts to breath': 0.5116279069767442, 'weight gain': 0.5071982281284607, 'leg swelling': 0.5049833887043189, 'fluid retention': 0.5027685492801772, 'chest tightness': 0.49058693244739754, 'weakness': 0.48726467331118495, 'shortness of breath': 0.4850498338870432}",0.02
heat exhaustion,"{'shortness of breath': 0.8371212121212122, 'vomiting': 0.7121212121212122, 'weakness': 0.5340909090909091, 'fainting': 0.5113636363636364, 'fluid retention': 0.5037878787878788, 'dizziness': 0.5, 'sharp chest pain': 0.4962121212121212, 'headache': 0.4772727272727273}",0.01
heat stroke,"{'dizziness': 1.0, 'feeling hot': 1.0}",0.005
hemangioma,"{'lip swelling': 0.6745562130177515, 'irregular appearing scalp': 0.6730769230769231, 'skin moles': 0.5118343195266272, 'skin lesion': 0.5059171597633136, 'skin growth': 0.5059171597633136, 'lymphedema': 0.4970414201183432, 'skin dryness, peeling, scaliness, or roughness': 0.4970414201183432, 'abnormal appearing skin': 0.49556213017751477, 'skin swelling': 0.4822485207100592, 'irregular appearing nails': 0.47781065088757396}",0.001
hemarthrosis,"{'frequent urination': 1.0, 'elbow weakness': 0.7777777777777778, 'knee pain': 0.7777777777777778, 'knee swelling': 0.3333333333333333}",0.002
hematoma,"{'arm swelling': 0.9666666666666667, 'ache all over': 0.7833333333333333, 'skin swelling': 0.7333333333333333, 'swelling of scrotum': 0.7166666666666667, 'sharp abdominal pain': 0.6833333333333333}",0.01
hemiplegia,"{'weakness': 0.6984126984126984, 'slurring words': 0.6706349206349206, 'difficulty speaking': 0.6626984126984127, 'arm stiffness or tightness': 0.5476190476190477, 'seizures': 0.5158730158730159, 'headache': 0.5059523809523809, 'problems with movement': 0.5059523809523809, 'loss of sensation': 0.503968253968254, 'abnormal involuntary movements': 0.49603174603174605}",0.001
hemochromatosis,"{'difficulty speaking': 1.0, 'abnormal appearing skin': 0.6666666666666666, 'ache all over': 0.6666666666666666}",0.005
hemolytic anemia,"{'skin growth': 0.9259259259259259, 'nausea': 0.7777777777777778, 'fatigue': 0.6666666666666666, 'cough': 0.5925925925925926}",0.01
hemophilia,"{'cough': 0.9047619047619048, 'frontal headache': 0.9047619047619048, 'bleeding gums': 0.6190476190476191, 'leg pain': 0.5238095238095238}",0.0005
hemorrhoids,"{'heartburn': 0.6861233480176211, 'lower body pain': 0.5220264317180616, 'constipation': 0.5176211453744494, 'rectal bleeding': 0.5165198237885462, 'changes in stool appearance': 0.5099118942731278, 'mass or swelling around the anus': 0.4988986784140969, 'itching of the anus': 0.4988986784140969, 'melena': 0.4977973568281938, 'blood in stool': 0.4955947136563877, 'pain of the anus': 0.4922907488986784, 'sharp abdominal pain': 0.4889867841409692}",0.05
hepatic encephalopathy,"{'abusing alcohol': 0.9555555555555556, 'fainting': 0.9111111111111111, 'depressive or psychotic symptoms': 0.7555555555555555, 'shortness of breath': 0.5555555555555556, 'sharp abdominal pain': 0.5555555555555556, 'fluid retention': 0.5555555555555556}",0.002
hepatitis due to a toxin,"{'nausea': 0.7282913165266106, 'depression': 0.7086834733893558, 'rectal bleeding': 0.6862745098039216, 'feeling ill': 0.6834733893557423, 'sharp abdominal pain': 0.5434173669467787, 'vomiting': 0.5322128851540616, 'itching of skin': 0.5238095238095238, 'jaundice': 0.5154061624649859}",0.001
herniated disk,"{'arm pain': 0.6563876651982379, 'low back pain': 0.525330396475771, 'paresthesia': 0.5220264317180616, 'back pain': 0.5198237885462555, 'neck pain': 0.5110132158590308, 'loss of sensation': 0.5099118942731278, 'hip pain': 0.5, 'leg pain': 0.4966960352422907, 'leg weakness': 0.4944933920704846, 'shoulder pain': 0.4878854625550661, 'arm weakness': 0.47577092511013214}",0.02
herpangina,"{'swollen lymph nodes': 0.7311111111111112, 'insomnia': 0.6822222222222222, 'decreased appetite': 0.5266666666666666, 'vomiting': 0.5177777777777778, 'cough': 0.5155555555555555, 'fever': 0.5088888888888888, 'skin rash': 0.5088888888888888, 'mouth ulcer': 0.5066666666666667, 'sore throat': 0.4866666666666667}",0.001
hiatal hernia,"{'difficulty in swallowing': 0.6754966887417219, 'nausea': 0.5320088300220751, 'upper abdominal pain': 0.5298013245033113, 'sharp abdominal pain': 0.5253863134657837, 'back pain': 0.5132450331125827, 'heartburn': 0.5088300220750552, 'regurgitation': 0.5077262693156733, 'regurgitation.1': 0.5077262693156733, 'dizziness': 0.5066225165562914, 'burning abdominal pain': 0.5066225165562914, 'vomiting blood': 0.5011037527593819, 'sharp chest pain': 0.4856512141280353}",0.02
hidradenitis suppurativa,"{'groin mass': 0.8489208633093526, 'skin swelling': 0.7697841726618705, 'skin lesion': 0.7697841726618705, 'arm pain': 0.7553956834532374, 'skin growth': 0.5467625899280576, 'skin rash': 0.4892086330935252}",0.01
high blood pressure,"{'sharp chest pain': 1.0, 'headache': 1.0}",0.3
hirschsprung disease,"{'emotional symptoms': 0.9473684210526315, 'sharp abdominal pain': 0.8421052631578947, 'constipation': 0.631578947368421}",0.0005
hirsutism,"{'abnormal appearing skin': 0.967741935483871, 'acne or pimples': 0.8387096774193549, 'apnea': 0.7741935483870968, 'unwanted hair': 0.7096774193548387}",0.03
histoplasmosis,"{'cough': 1.0, 'elbow weakness': 1.0, 'lacrimation': 0.6}",0.002
hormone disorder,"{'acne or pimples': 0.9454545454545454, 'hot flashes': 0.8909090909090909, 'headache': 0.8545454545454545, 'lack of growth': 0.7090909090909091, 'excessive growth': 0.6545454545454545}",0.02
hpv,"{'involuntary urination': 1.0, 'vaginal itching': 0.9230769230769231, 'warts': 0.5384615384615384}",0.1
human immunodeficiency virus infection (hiv),"{'drug abuse': 1.0, 'fears and phobias': 1.0, 'nightmares': 1.0}",0.001
huntington disease,"{'anxiety and nervousness': 1.0, 'elbow weakness': 1.0}",0.0005
hydatidiform mole,"{'dizziness': 0.9354838709677419, 'sharp abdominal pain': 0.8225806451612904, 'diminished vision': 0.7903225806451613, 'pain during pregnancy': 0.532258064516129, 'spotting or bleeding during pregnancy': 0.532258064516129}",0.0001
hydrocele of the testicle,"{'symptoms of the scrotum and testes': 0.8502202643171806, 'groin mass': 0.5286343612334802, 'swelling of scrotum': 0.5242290748898678, 'mass in scrotum': 0.5110132158590308, 'pain in testicles': 0.5022026431718062, 'lower abdominal pain': 0.5022026431718062, 'groin pain': 0.4889867841409692, 'retention of urine': 0.4801762114537445}",0.01
hydrocephalus,"{'abnormal involuntary movements': 0.9032258064516129, 'lack of growth': 0.632258064516129, 'headache': 0.6, 'vomiting': 0.5483870967741935, 'depressive or psychotic symptoms': 0.5419354838709678, 'problems with movement': 0.5096774193548387, 'seizures': 0.45806451612903226}",0.002
hydronephrosis,"{'pain in testicles': 0.7558823529411764, 'suprapubic pain': 0.7205882352941176, 'lower abdominal pain': 0.6911764705882353, 'vomiting': 0.5470588235294118, 'side pain': 0.5147058823529411, 'back pain': 0.5, 'sharp abdominal pain': 0.48823529411764705, 'nausea': 0.47941176470588237}",0.01
