diseases,grouped symptoms,disease probability
goiter,"{'lump in throat': 0.8266666666666667, 'difficulty in swallowing': 0.7733333333333333, 'hot flashes': 0.8133333333333334, 'weight gain': 0.56, 'fatigue': 0.64}",0.01
gonorrhea,"{'sharp abdominal pain': 0.6030534351145038, 'vaginal itching': 0.6946564885496184, 'vaginal discharge': 0.4961832061068702, 'problems with movement': 0.8625954198473282, 'vaginal pain': 0.732824427480916, 'penile discharge': 0.5648854961832062}",0.02
gout,"{'hand or finger pain': 0.4838976052848885, 'wrist pain': 0.4962840627580512, 'hand or finger swelling': 0.5037159372419489, 'wrist swelling': 0.5111478117258464, 'knee pain': 0.5342691990090834, 'foot or toe pain': 0.5177539223781998, 'ankle pain': 0.5111478117258464, 'knee swelling': 0.5169281585466556, 'leg swelling': 0.4731626754748142, 'foot or toe swelling': 0.5161023947151114, 'joint pain': 0.495458298926507, 'ankle swelling': 0.5053674649050371}",0.03
granuloma inguinale,"{'sharp chest pain': 1.0, 'knee lump or mass': 0.8}",0.001
graves disease,"{'dizziness': 0.6814516129032258, 'abnormal involuntary movements': 0.4879032258064516, 'palpitations': 0.5362903225806451, 'irregular heartbeat': 0.7741935483870968, 'involuntary urination': 0.6693548387096774, 'hemoptysis': 0.6451612903225806, 'sweating': 0.5120967741935484}",0.005
guillain barre syndrome,"{'dizziness': 0.8771929824561403, 'difficulty speaking': 0.7368421052631579, 'leg pain': 0.8421052631578947, 'hand or finger pain': 0.8771929824561403, 'loss of sensation': 0.6842105263157895}",0.001
gum disease,"{'lip swelling': 0.4787472035794183, 'toothache': 0.5324384787472036, 'facial pain': 0.5123042505592841, 'mouth ulcer': 0.6957494407158836, 'peripheral edema': 0.5067114093959731, 'ear pain': 0.5324384787472036, 'jaw swelling': 0.5111856823266219, 'fever': 0.4966442953020134, 'gum pain': 0.5212527964205816, 'bleeding gums': 0.5033557046979866, 'pain in gums': 0.4843400447427293}",0.1
gynecomastia,"{'skin swelling': 0.6024096385542169, 'back pain': 0.5783132530120482, 'neck pain': 0.5301204819277109, 'bones are painful': 0.6265060240963856, 'problems with shape or size of breast': 0.5662650602409639, 'pain or soreness of breast': 0.4337349397590361, 'lump or mass of breast': 0.5903614457831325}",0.01
hammer toe,"{'skin lesion': 0.6666666666666666, 'skin growth': 0.8888888888888888, 'foot or toe pain': 0.5555555555555556, 'loss of sensation': 0.4444444444444444}",0.05
hashimoto thyroiditis,"{'abnormal involuntary movements': 1.0, 'weight gain': 1.0}",0.02
head and neck cancer,"{'hoarse voice': 0.7055214723926381, 'sore throat': 0.5368098159509203, 'throat feels tight': 0.5276073619631901, 'difficulty in swallowing': 0.5368098159509203, 'neck mass': 0.5398773006134969, 'plugged feeling in ear': 0.6748466257668712, 'hemoptysis': 0.7269938650306749, 'mouth pain': 0.4938650306748466}",0.003
head injury,"{'dizziness': 0.4939024390243902, 'fainting': 0.5, 'headache': 0.5, 'lip swelling': 0.6341463414634146, 'facial pain': 0.5487804878048781, 'double vision': 0.6402439024390244, 'back pain': 0.5426829268292683, 'neck pain': 0.5182926829268293}",0.02
headache after lumbar puncture,"{'dizziness': 0.4733727810650887, 'vomiting': 0.4970414201183432, 'headache': 0.5266272189349113, 'nausea': 0.6923076923076923, 'painful urination': 0.8284023668639053, 'neck pain': 0.4970414201183432, 'low back pain': 0.4970414201183432}",0.001
heart attack,"{'shortness of breath': 0.4961411245865491, 'sharp chest pain': 0.4895259095920617, 'chest tightness': 0.4906284454244763, 'irregular heartbeat': 0.4972436604189636, 'fainting': 0.538037486218302, 'nausea': 0.5336273428886439, 'arm pain': 0.5093715545755237, 'heartburn': 0.6504961411245865, 'increased heart rate': 0.523704520396913, 'burning chest pain': 0.5060639470782801, 'sweating': 0.4906284454244763}",0.02
heart block,"{'shortness of breath': 0.4735973597359736, 'sharp chest pain': 0.4735973597359736, 'dizziness': 0.4801980198019802, 'chest tightness': 0.5, 'palpitations': 0.5082508250825083, 'irregular heartbeat': 0.5181518151815182, 'fainting': 0.5033003300330033, 'peripheral edema': 0.4917491749174917, 'weight gain': 0.7508250825082509, 'weakness': 0.5495049504950495}",0.001
heart contusion,"{'depression': 1.0, 'elbow weakness': 0.8181818181818182}",0.001
heart failure,"{'shortness of breath': 0.4850498338870432, 'sharp chest pain': 0.5116279069767442, 'chest tightness': 0.4905869324473975, 'palpitations': 0.5182724252491694, 'cough': 0.6810631229235881, 'weight gain': 0.5071982281284607, 'leg swelling': 0.5049833887043189, 'weakness': 0.4872646733111849, 'difficulty breathing': 0.5182724252491694, 'fluid retention': 0.5027685492801772, 'hurts to breath': 0.5116279069767442}",0.02
heat exhaustion,"{'shortness of breath': 0.8371212121212122, 'sharp chest pain': 0.4962121212121212, 'dizziness': 0.5, 'fainting': 0.5113636363636364, 'vomiting': 0.7121212121212122, 'headache': 0.4772727272727273, 'weakness': 0.5340909090909091, 'fluid retention': 0.5037878787878788}",0.01
heat stroke,"{'dizziness': 1.0, 'feeling hot': 1.0}",0.005
hemangioma,"{'skin swelling': 0.4822485207100592, 'lip swelling': 0.6745562130177515, 'abnormal appearing skin': 0.4955621301775147, 'skin lesion': 0.5059171597633136, 'skin growth': 0.5059171597633136, 'irregular appearing scalp': 0.6730769230769231, 'skin moles': 0.5118343195266272, 'lymphedema': 0.4970414201183432, 'irregular appearing nails': 0.4778106508875739, 'skin dryness, peeling, scaliness, or roughness': 0.4970414201183432}",0.001
hemarthrosis,"{'elbow weakness': 0.7777777777777778, 'frequent urination': 1.0, 'knee pain': 0.7777777777777778, 'knee swelling': 0.3333333333333333}",0.002
hematoma,"{'skin swelling': 0.7333333333333333, 'swelling of scrotum': 0.7166666666666667, 'sharp abdominal pain': 0.6833333333333333, 'arm swelling': 0.9666666666666668, 'ache all over': 0.7833333333333333}",0.01
hemiplegia,"{'abnormal involuntary movements': 0.496031746031746, 'difficulty speaking': 0.6626984126984127, 'headache': 0.5059523809523809, 'arm stiffness or tightness': 0.5476190476190477, 'problems with movement': 0.5059523809523809, 'weakness': 0.6984126984126984, 'loss of sensation': 0.503968253968254, 'slurring words': 0.6706349206349206, 'seizures': 0.5158730158730159}",0.001
hemochromatosis,"{'difficulty speaking': 1.0, 'abnormal appearing skin': 0.6666666666666666, 'ache all over': 0.6666666666666666}",0.005
hemolytic anemia,"{'cough': 0.5925925925925926, 'nausea': 0.7777777777777778, 'skin growth': 0.925925925925926, 'fatigue': 0.6666666666666666}",0.01
hemophilia,"{'cough': 0.9047619047619048, 'leg pain': 0.5238095238095238, 'frontal headache': 0.9047619047619048, 'bleeding gums': 0.6190476190476191}",0.0005
hemorrhoids,"{'blood in stool': 0.4955947136563877, 'sharp abdominal pain': 0.4889867841409692, 'pain of the anus': 0.4922907488986784, 'heartburn': 0.6861233480176211, 'lower body pain': 0.5220264317180616, 'changes in stool appearance': 0.5099118942731278, 'melena': 0.4977973568281938, 'rectal bleeding': 0.5165198237885462, 'constipation': 0.5176211453744494, 'mass or swelling around the anus': 0.4988986784140969, 'itching of the anus': 0.4988986784140969}",0.05
hepatic encephalopathy,"{'shortness of breath': 0.5555555555555556, 'depressive or psychotic symptoms': 0.7555555555555555, 'abusing alcohol': 0.9555555555555556, 'fainting': 0.9111111111111112, 'sharp abdominal pain': 0.5555555555555556, 'fluid retention': 0.5555555555555556}",0.002
hepatitis due to a toxin,"{'depression': 0.7086834733893558, 'jaundice': 0.5154061624649859, 'sharp abdominal pain': 0.5434173669467787, 'feeling ill': 0.6834733893557423, 'vomiting': 0.5322128851540616, 'nausea': 0.7282913165266106, 'rectal bleeding': 0.6862745098039216, 'itching of skin': 0.5238095238095238}",0.001
herniated disk,"{'leg pain': 0.4966960352422907, 'hip pain': 0.5, 'arm pain': 0.6563876651982379, 'back pain': 0.5198237885462555, 'neck pain': 0.5110132158590308, 'low back pain': 0.525330396475771, 'loss of sensation': 0.5099118942731278, 'paresthesia': 0.5220264317180616, 'shoulder pain': 0.4878854625550661, 'arm weakness': 0.4757709251101321, 'leg weakness': 0.4944933920704846}",0.02
herpangina,"{'insomnia': 0.6822222222222222, 'sore throat': 0.4866666666666667, 'cough': 0.5155555555555555, 'vomiting': 0.5177777777777778, 'mouth ulcer': 0.5066666666666667, 'swollen lymph nodes': 0.7311111111111112, 'decreased appetite': 0.5266666666666666, 'fever': 0.5088888888888888, 'skin rash': 0.5088888888888888}",0.001
hiatal hernia,"{'sharp chest pain': 0.4856512141280353, 'dizziness': 0.5066225165562914, 'difficulty in swallowing': 0.6754966887417219, 'sharp abdominal pain': 0.5253863134657837, 'nausea': 0.5320088300220751, 'back pain': 0.5132450331125827, 'vomiting blood': 0.5011037527593819, 'regurgitation': 0.5077262693156733, 'burning abdominal pain': 0.5066225165562914, 'heartburn': 0.5088300220750552, 'upper abdominal pain': 0.5298013245033113, 'regurgitation.1': 0.5077262693156733}",0.02
hidradenitis suppurativa,"{'skin swelling': 0.7697841726618705, 'groin mass': 0.8489208633093526, 'arm pain': 0.7553956834532374, 'skin lesion': 0.7697841726618705, 'skin growth': 0.5467625899280576, 'skin rash': 0.4892086330935252}",0.01
high blood pressure,"{'sharp chest pain': 1.0, 'headache': 1.0}",0.3
hirschsprung disease,"{'emotional symptoms': 0.9473684210526316, 'sharp abdominal pain': 0.8421052631578947, 'constipation': 0.631578947368421}",0.0005
hirsutism,"{'abnormal appearing skin': 0.967741935483871, 'acne or pimples': 0.8387096774193549, 'apnea': 0.7741935483870968, 'unwanted hair': 0.7096774193548387}",0.03
histoplasmosis,"{'cough': 1.0, 'elbow weakness': 1.0, 'lacrimation': 0.6}",0.002
hormone disorder,"{'lack of growth': 0.7090909090909091, 'headache': 0.8545454545454545, 'hot flashes': 0.8909090909090909, 'acne or pimples': 0.9454545454545454, 'excessive growth': 0.6545454545454545}",0.02
hpv,"{'vaginal itching': 0.9230769230769232, 'involuntary urination': 1.0, 'warts': 0.5384615384615384}",0.1
human immunodeficiency virus infection (hiv),"{'drug abuse': 1.0, 'fears and phobias': 1.0, 'nightmares': 1.0}",0.001
huntington disease,"{'anxiety and nervousness': 1.0, 'elbow weakness': 1.0}",0.0005
hydatidiform mole,"{'dizziness': 0.935483870967742, 'sharp abdominal pain': 0.8225806451612904, 'diminished vision': 0.7903225806451613, 'pain during pregnancy': 0.532258064516129, 'spotting or bleeding during pregnancy': 0.532258064516129}",0.0001
hydrocele of the testicle,"{'retention of urine': 0.4801762114537445, 'groin mass': 0.5286343612334802, 'symptoms of the scrotum and testes': 0.8502202643171806, 'swelling of scrotum': 0.5242290748898678, 'pain in testicles': 0.5022026431718062, 'mass in scrotum': 0.5110132158590308, 'lower abdominal pain': 0.5022026431718062, 'groin pain': 0.4889867841409692}",0.01
hydrocephalus,"{'depressive or psychotic symptoms': 0.5419354838709678, 'abnormal involuntary movements': 0.9032258064516128, 'lack of growth': 0.632258064516129, 'vomiting': 0.5483870967741935, 'headache': 0.6, 'problems with movement': 0.5096774193548387, 'seizures': 0.4580645161290322}",0.002
hydronephrosis,"{'suprapubic pain': 0.7205882352941176, 'pain in testicles': 0.7558823529411764, 'sharp abdominal pain': 0.488235294117647, 'vomiting': 0.5470588235294118, 'nausea': 0.4794117647058823, 'lower abdominal pain': 0.6911764705882353, 'back pain': 0.5, 'side pain': 0.5147058823529411}",0.01
hypercalcemia,"{'dizziness': 0.5, 'retention of urine': 1.0, 'weakness': 0.8, 'loss of sensation': 0.5}",0.001
hypercholesterolemia,"{'sharp chest pain': 0.5, 'palpitations': 0.625, 'hand or finger stiffness or tightness': 0.5, 'weight gain': 0.75, 'excessive urination at night': 0.375}",0.02
hyperemesis gravidarum,"{'dizziness': 0.4857456140350877, 'sharp abdominal pain': 0.5, 'vomiting': 0.4890350877192982, 'headache': 0.5021929824561403, 'nausea': 0.5241228070175439, 'diarrhea': 0.5109649122807017, 'pain during pregnancy': 0.5230263157894737, 'vomiting blood': 0.6732456140350878, 'burning abdominal pain': 0.5328947368421053, 'weakness': 0.506578947368421, 'problems during pregnancy': 0.4989035087719298}",0.005
hypergammaglobulinemia,"{'blood in stool': 1.0, 'fatigue': 1.0}",0.001
hyperhidrosis,"{'cough': 1.0, 'acne or pimples': 0.4583333333333333, 'fever': 0.625, 'sweating': 0.5, 'warts': 0.75}",0.02
hyperkalemia,"{'shortness of breath': 0.5068493150684932, 'depressive or psychotic symptoms': 0.6864535768645358, 'sharp chest pain': 0.5068493150684932, 'dizziness': 0.5220700152207002, 'difficulty in swallowing': 0.4840182648401826, 'feeling ill': 0.528158295281583, 'vomiting': 0.5007610350076104, 'nausea': 0.5205479452054794, 'weakness': 0.5342465753424658, 'decreased heart rate': 0.6986301369863014}",0.001
hyperlipidemia,"{'sharp chest pain': 1.0, 'weight gain': 0.3333333333333333, 'smoking problems': 1.0}",0.02
hypernatremia,"{'shortness of breath': 0.9054054054054054, 'fainting': 0.8648648648648649, 'weakness': 0.581081081081081, 'fever': 0.8378378378378378, 'difficulty breathing': 0.4729729729729729}",0.001
hyperopia,"{'difficulty speaking': 0.8425925925925926, 'eye deviation': 0.8518518518518519, 'diminished vision': 0.5648148148148148, 'symptoms of eye': 0.7407407407407407, 'spots or clouds in vision': 0.5555555555555556, 'eye redness': 0.5277777777777778}",0.2
hyperosmotic hyperketotic state,"{'cough': 1.0, 'frequent urination': 0.6, 'weakness': 0.8}",0.0005
hypertension of pregnancy,"{'headache': 0.5714285714285714, 'pain during pregnancy': 0.5535714285714286, 'heartburn': 0.8571428571428571, 'problems during pregnancy': 0.6071428571428571, 'spotting or bleeding during pregnancy': 0.5535714285714286, 'uterine contractions': 0.5535714285714286}",0.01
hypertensive heart disease,"{'shortness of breath': 0.4822616407982261, 'sharp chest pain': 0.5121951219512195, 'insomnia': 0.4911308203991131, 'chest tightness': 0.5110864745011087, 'palpitations': 0.5465631929046563, 'leg swelling': 0.6840354767184036, 'heartburn': 0.4933481152993348, 'weakness': 0.4822616407982261, 'difficulty breathing': 0.5199556541019955, 'fatigue': 0.5177383592017738, 'recent pregnancy': 0.4988913525498891}",0.005
hypertrophic obstructive cardiomyopathy (hocm),"{'anxiety and nervousness': 1.0, 'sharp chest pain': 0.6666666666666666, 'emotional symptoms': 0.6666666666666666}",0.001
hypocalcemia,"{'shortness of breath': 0.717391304347826, 'sharp chest pain': 1.0, 'abnormal involuntary movements': 0.8043478260869565, 'constipation': 0.5, 'leg weakness': 0.4565217391304347}",0.001
hypoglycemia,"{'depressive or psychotic symptoms': 0.4781893004115226, 'dizziness': 0.4995884773662551, 'abnormal involuntary movements': 0.5045267489711934, 'fainting': 0.5111111111111111, 'feeling ill': 0.5135802469135803, 'nausea': 0.5135802469135803, 'problems with movement': 0.497119341563786, 'weakness': 0.4979423868312757, 'decreased appetite': 0.4823045267489712, 'seizures': 0.5119341563786008, 'sleepiness': 0.5020576131687243, 'sweating': 0.5094650205761316}",0.02
hypokalemia,"{'shortness of breath': 0.5523012552301255, 'sharp chest pain': 0.8158995815899581, 'fainting': 0.5794979079497908, 'sharp abdominal pain': 0.5564853556485355, 'vomiting': 0.5564853556485355, 'headache': 0.5146443514644351, 'nausea': 0.5857740585774058, 'diarrhea': 0.5983263598326359, 'loss of sensation': 0.5292887029288703, 'fever': 0.5418410041841004}",0.001
hyponatremia,"{'shortness of breath': 0.692929292929293, 'sharp chest pain': 0.6565656565656566, 'fainting': 0.5151515151515151, 'sharp abdominal pain': 0.5272727272727272, 'vomiting': 0.5474747474747474, 'nausea': 0.5373737373737374, 'back pain': 0.6686868686868687, 'weakness': 0.5454545454545454, 'seizures': 0.509090909090909}",0.001
hypothermia,"{'depressive or psychotic symptoms': 0.6923076923076923, 'emotional symptoms': 0.8461538461538461, 'fainting': 1.0, 'weakness': 0.6153846153846154}",0.001
hypothyroidism,"{'hot flashes': 0.7162162162162162, 'wrist swelling': 0.8783783783783784, 'weight gain': 0.5675675675675675, 'muscle pain': 0.4729729729729729, 'fatigue': 0.581081081081081, 'too little hair': 0.5405405405405406}",0.05
hypovolemia,"{'dizziness': 0.6863207547169812, 'fainting': 0.7594339622641509, 'sharp abdominal pain': 0.5212264150943396, 'feeling ill': 0.5259433962264151, 'vomiting': 0.5424528301886793, 'nausea': 0.5047169811320755, 'diarrhea': 0.5613207547169812, 'decreased appetite': 0.4811320754716981, 'fever': 0.5212264150943396}",0.002
